author,0-author,1|   set([u'hep-th', u'hep-lat'])   0
author,495-author,920|   set([u'hep-th', u'hep-lat'])   0
author,889-author,888|   set([u'hep-th', u'hep-ph'])   0
author,745-author,744|   set([u'hep-th', u'gr-qc'])   0
author,726-author,65|   set([u'cond-mat', u'hep-th'])   0
author,921-author,922|   set([u'hep-th'])   0
author,923-author,924|   set([u'hep-th', u'gr-qc'])   0
author,791-author,925|   set([u'hep-th'])   0
author,926-author,645|   set([u'hep-th'])   0
author,927-author,928|   set([u'hep-th', u'hep-ph'])   0
author,927-author,675|   set([u'hep-th', u'hep-ph'])   0
author,929-author,930|   set([u'hep-th'])   0
author,703-author,931|   set([u'hep-th', u'hep-lat', u'hep-ph'])   0
author,671-author,853|   set([u'hep-th', u'astro-ph', u'gr-qc'])   0
author,62-author,164|   set([u'hep-th'])   0
author,64-author,98|   set([u'hep-th', u'gr-qc'])   0
author,932-author,933|   set([u'hep-th'])   0
author,398-author,245|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,398-author,246|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,65-author,59|   set([u'hep-th'])   0
author,279-author,934|   set([u'hep-th', u'gr-qc'])   0
author,935-author,906|   set([u'hep-th', u'hep-ph'])   0
author,935-author,936|   set([u'hep-th', u'hep-ph'])   0
author,711-author,937|   set([u'hep-th', u'math.QA', u'hep-ph', u'q-alg'])   0
author,631-author,502|   set([u'hep-th'])   0
author,938-author,939|   set([u'hep-th', u'gr-qc'])   0
author,938-author,940|   set([u'hep-th', u'gr-qc'])   0
author,558-author,941|   set([u'hep-th'])   0
author,942-author,548|   set([u'hep-th'])   0
author,943-author,944|   set([u'hep-th', u'hep-ph'])   0
author,476-author,743|   set([u'hep-th'])   0
author,945-author,494|   set([u'hep-th'])   0
author,945-author,493|   set([u'hep-th'])   0
author,146-author,189|   set([u'hep-th'])   0
author,731-author,946|   set([u'hep-th', u'math.QA'])   0
author,419-author,891|   set([u'hep-th'])   0
author,419-author,947|   set([u'hep-th'])   0
author,419-author,845|   set([u'cond-mat', u'hep-th'])   0
author,948-author,743|   set([u'hep-th', u'hep-ph'])   0
author,948-author,641|   set([u'hep-th', u'hep-ph'])   0
author,129-author,792|   set([u'hep-th', u'math.FA', u'funct-an'])   0
author,119-author,198|   set([u'hep-th'])   0
author,949-author,937|   set([u'hep-th', u'math.QA', u'hep-ph', u'q-alg'])   0
author,776-author,348|   set([u'hep-th'])   0
author,940-author,939|   set([u'hep-th', u'gr-qc'])   0
author,77-author,719|   set([u'hep-th'])   0
author,872-author,871|   set([u'hep-th', u'quant-ph'])   0
author,98-author,59|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,950-author,589|   set([u'hep-th', u'hep-ph'])   0
author,950-author,951|   set([u'hep-th', u'hep-ph'])   0
author,916-author,725|   set([u'hep-th'])   0
author,952-author,728|   set([u'cond-mat', u'hep-th', u'hep-ph'])   0
author,339-author,737|   set([u'hep-th', u'astro-ph', u'hep-ph', u'gr-qc'])   0
author,953-author,954|   set([u'hep-th'])   0
author,953-author,955|   set([u'hep-th'])   0
author,953-author,163|   set([u'hep-th'])   0
author,238-author,239|   set([u'hep-th'])   0
author,221-author,223|   set([u'hep-th', u'hep-ph'])   0
author,739-author,956|   set([u'hep-th'])   0
author,133-author,611|   set([u'hep-th'])   0
author,672-author,918|   set([u'hep-th'])   0
author,672-author,769|   set([u'hep-th'])   0
author,672-author,957|   set([u'hep-th'])   0
author,665-author,956|   set([u'hep-th', u'hep-ph'])   0
author,665-author,664|   set([u'hep-th'])   0
author,719-author,769|   set([u'hep-th'])   0
author,906-author,936|   set([u'hep-th', u'hep-ph'])   0
author,956-author,738|   set([u'hep-th'])   0
author,955-author,954|   set([u'hep-th'])   0
author,508-author,883|   set([u'hep-th'])   0
author,680-author,958|   set([u'hep-th', u'hep-ph'])   0
author,959-author,406|   set([u'hep-th', u'hep-ph'])   0
author,245-author,246|   set([u'hep-th', u'hep-lat', u'gr-qc'])   0
author,796-author,797|   set([u'hep-th', u'hep-lat'])   0
author,188-author,189|   set([u'hep-th'])   0
author,860-author,862|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,894-author,960|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,630-author,918|   set([u'hep-th'])   0
author,630-author,41|   set([u'hep-th'])   0
author,961-author,962|   set([u'hep-th', u'hep-ph'])   0
author,55-author,219|   set([u'hep-th', u'q-alg', u'math.QA'])   0
author,41-author,338|   set([u'hep-th'])   0
author,41-author,918|   set([u'hep-th'])   0
author,909-author,742|   set([u'cond-mat', u'hep-th', u'hep-lat'])   0
author,957-author,674|   set([u'hep-th'])   0
author,430-author,429|   set([u'hep-th'])   0
author,902-author,901|   set([u'hep-th'])   0
author,963-author,539|   set([u'hep-th'])   0
author,403-author,641|   set([u'hep-th', u'hep-ph'])   0
author,964-author,965|   set([u'hep-th'])   0
author,850-author,792|   set([u'hep-th'])   0
author,516-author,903|   set([u'hep-th'])   0
author,516-author,517|   set([u'hep-th'])   0
author,525-author,309|   set([u'hep-th', u'math.QA', u'q-alg'])   0
author,530-author,199|   set([u'hep-th'])   0
author,966-author,930|   set([u'cond-mat', u'hep-th'])   0
author,967-author,968|   set([u'hep-th', u'gr-qc'])   0
author,743-author,489|   set([u'hep-th'])   0
author,372-author,374|   set([u'hep-th'])   0
author,198-author,52|   set([u'hep-th'])   0
author,969-author,970|   set([u'hep-th'])   0
author,216-author,971|   set([u'hep-th'])   0
author,972-author,973|   set([u'hep-th'])   0
author,845-author,891|   set([u'cond-mat', u'hep-th'])   0
author,6-author,52|   set([u'hep-th'])   0
author,674-author,918|   set([u'hep-th'])   0
author,862-author,861|   set([u'hep-th', u'gr-qc', u'hep-ph'])   0
author,314-author,918|   set([u'hep-th'])   0
author,314-author,974|   set([u'hep-th'])   0
author,670-author,918|   set([u'hep-th'])   0
author,975-author,455|   set([u'hep-th'])   0
author,611-author,976|   set([u'hep-th'])   0
author,174-author,600|   set([u'hep-th'])   0
author,174-author,175|   set([u'hep-th'])   0
author,199-author,52|   set([u'hep-th'])   0
author,483-author,825|   set([u'hep-th', u'hep-lat'])   0
author,977-author,568|   set([u'hep-th'])   0
author,455-author,978|   set([u'hep-th'])   0
author,175-author,600|   set([u'hep-th'])   0
author,978-author,757|   set([u'hep-th'])   0
author,979-author,517|   set([u'hep-th'])   0
